	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	160,0000	160,0000	10,0000	10,0000	9,0000	4,0000	

	Pooled Multiway	4	4	5	5	6	7	7	8	8	8	9	9	

	Count	5	10	15	20	30	45	70	85	100	120	140	160	
Transform mult first	Flat	0,6206	0,6206	0,9309	0,6206	0,9309	1,2412	1,5515	1,8618	1,8618	2,1721	2,4824	2,4824	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,9309	1,2412	1,5515	1,8618	2,4824	3,1030	4,0339	4,9648	5,5854	6,2059	8,3780	9,9295	
	Pooled Pointer	0,9309	1,5515	1,8618	2,1721	2,7927	3,7236	4,9648	5,8957	6,5162	8,0677	9,3089	10,2398	
	Naive Multiway	0,6206	0,9309	1,2412	1,5515	2,1721	2,4824	3,7236	4,3442	5,2751	5,8957	6,5162	7,4471	
	Pooled Multiway	0,6206	0,9309	0,9309	1,2412	1,5515	1,8618	3,1030	3,7236	4,0339	4,6545	4,9648	5,5854	

	Count	5	10	15	20	30	45	70	85	100	120	140	160	
Transform mult last	Flat	0,3103	0,3103	0,3103	0,3103	0,3103	0,6206	0,9309	0,9309	1,2412	1,2412	1,5515	1,8618	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	1,2412	2,1721	2,4824	1,5515	2,4824	2,1721	2,4824	2,7927	3,1030	3,1030	4,0339	4,3442	
	Pooled Pointer	1,5515	2,4824	3,7236	1,8618	3,1030	2,1721	1,8618	2,4824	2,7927	3,4133	4,0339	4,0339	
	Naive Multiway	1,8618	2,4824	2,1721	1,8618	3,1030	2,7927	3,1030	3,1030	3,4133	3,7236	4,3442	4,3442	
	Pooled Multiway	1,8618	2,4824	2,7927	1,5515	2,7927	2,4824	3,4133	3,4133	3,1030	3,4133	3,7236	4,3442	
