	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	17,0000	17,0000	13,0000	5,0000	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
	Pooled Pointer	0,6396	0,9594	1,5991	2,5585	4,7972	9,2746	15,9907	31,9814	48,2919	100,1018	235,7030	0,0000	0,0000	0,3198	0,6396	1,2793	1,9189	2,5585	3,1981	7,0359	20,4681	24,3059	1,2793	1,5991	2,8783	4,7972	10,2341	20,7879	41,2560	105,2189	165,6637	264,1665	651,7812	
	Naive Multiway	0,3198	0,6396	0,9594	1,2793	3,1981	5,7567	9,2746	16,6303	27,1842	46,0532	104,5792	0,0000	0,0000	0,3198	0,3198	0,6396	0,9594	1,2793	1,5991	3,1981	11,5133	16,9501	0,9594	1,2793	2,2387	3,5180	9,9142	16,3105	23,3464	48,2919	85,3904	156,0693	381,8581	
	Pooled Multiway	0,3198	0,6396	0,6396	1,2793	2,5585	5,1170	8,6350	17,2700	27,8238	51,8099	113,2142	0,0000	0,0000	0,3198	0,3198	0,6396	0,9594	1,2793	1,9189	4,1576	10,5539	11,8331	0,6396	0,9594	1,2793	2,5585	4,7972	8,3152	15,3511	35,4994	79,3139	128,8851	329,7284	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Leaf travel	Flat	0,6396	0,9594	1,2793	1,2793	1,5991	1,9189	2,5585	4,4774	7,9954	14,0718	32,9409	0,6396	0,6396	0,9594	0,9594	1,2793	1,5991	2,2387	3,5180	5,7567	9,9142	23,3464	1,5991	1,5991	1,9189	2,2387	2,5585	2,8783	3,5180	6,0765	10,5539	19,5087	46,3731	
	Flat cached	0,9594	0,9594	0,9594	0,9594	0,9594	1,2793	1,2793	1,5991	1,5991	1,9189	2,2387	0,6396	0,6396	0,6396	0,6396	0,9594	0,9594	0,9594	1,2793	1,2793	1,2793	1,5991	1,5991	1,9189	1,9189	1,9189	1,9189	1,9189	2,2387	2,2387	2,5585	2,8783	3,1981	
	Flat cold	3,8378	3,8378	4,1576	4,1576	4,7972	5,4368	6,0765	9,5944	19,5087	40,2966	96,9037	3,5180	3,5180	3,8378	3,8378	4,1576	4,7972	5,7567	8,9548	18,5492	38,6975	95,3046	4,4774	4,4774	4,7972	4,7972	5,1170	5,7567	6,7161	10,5539	21,7474	44,7740	108,7368	
	Naive Pointer	1,5991	1,5991	1,5991	1,5991	1,9189	1,9189	1,9189	2,2387	2,2387	2,2387	2,2387	1,2793	1,2793	1,2793	1,2793	1,2793	1,2793	1,5991	1,5991	1,5991	1,5991	1,5991	1,9189	2,2387	2,2387	2,2387	2,5585	2,5585	2,5585	2,8783	2,8783	2,8783	2,8783	
	Pooled Pointer	1,5991	1,5991	1,5991	1,9189	1,9189	2,2387	2,2387	2,2387	2,2387	2,2387	2,2387	1,2793	1,2793	1,2793	1,5991	1,5991	1,5991	1,5991	1,9189	1,5991	1,5991	1,5991	2,2387	2,2387	2,2387	2,5585	2,5585	2,8783	2,8783	3,1981	3,1981	3,1981	3,1981	
